container_id,album_title,unique_users,consumption_time,avg_time_per_user,score_poplite,score_hidden_gem,genres,epochs,is_atmos
28948672783,SIENA TAPES,110,27.18333333,0.2471212120909091,0.8003099138105568,0.0235620830737707,Solo Instrumental,Contemporary | 20th Century,False
28948759804,"Beethoven: Piano Sonatas, Op. 2/3 & 106",107,60.01388889,0.5608774662616822,1.8039061393251776,0.0542220712518646,Solo Instrumental,Classical,True
28948652051,Bernstein: Mendelssohn - Mozart,106,128.3416667,1.2107704405660376,3.884975425247916,0.1176004211481868,Orchestral | Choral Music,Classical,True
28948642076,For Clara: Works by Schumann & Brahms,105,46.98055556,0.4474338624761905,1.4322742162491582,0.0436650739030158,Solo Instrumental | Song,Romantic,True
28948627714,The New Four Seasons - Vivaldi Recomposed,104,50.16111111,0.4823183760576923,1.5402532840114125,0.0472952079092799,Concerto,Contemporary,True
28948669011,Till Next Christmas EP,103,32.66388889,0.3171251348543689,1.010275848848441,0.0312472680213809,,,True
28948398522,Paris,100,41.98611111,0.4198611111,1.327717412005004,0.04198611111,Concerto,,False
28947923091,"Rachmaninoff: Piano Concerto No. 3 in D Minor, Op. 30 / Prokofiev: Piano Concerto No. 2 in G Minor, Op. 16 (Live)",98,57.07222222,0.582369614489796,1.8323364722582,0.0588282147946757,Concerto,20th Century,False
28948680085,Shepherd: On a Clear Day,98,20.1,0.2051020408163265,0.6453220438906159,0.0207184348423463,Choral Music,Contemporary,False
28947969785,Sleep,97,161.8916667,1.6689862546391754,5.237761191926751,0.1694598793308608,Chamber Music,Contemporary,True
28948670321,Boulez A-Z: Debussy - Liszt,97,85.44444444,0.8808705612371134,2.7644263863371137,0.0894388546331202,Concerto | Orchestral,20th Century | Romantic,False
28948755349,"Bach: Preludes, Inventions & Sinfonias",97,41.13611111,0.4240836196907216,1.3308969556661243,0.0430591676948958,Solo Instrumental,Baroque,True
28947948797,Dvorák: Cello Concerto / Tchaikovsky: Variations On A Rococo Theme,91,50.13611111,0.550946275934066,1.701647499636522,0.0577548626910091,Chamber Music,Romantic,False
602478322280,Einaudi Vs Einaudi,90,23.91388889,0.2657098765555555,0.8184050960709567,0.0280082802239243,,,True
28948758791,Brahms & Schumann: Violin Sonatas,89,56.73055556,0.6374219725842697,1.9578279834289969,0.0675665939608798,Chamber Music,,False
28948652075,Bernstein: Sibelius – Stravinsky,88,76.13611111,0.8651830807954546,2.649895123752465,0.0922288263021724,Orchestral,20th Century,False
28948667383,"My Brilliant Friend, Season 4 (Original Soundtrack)",88,28.01388889,0.3183396464772727,0.9750152258197518,0.0339351203366731,Concerto | Chamber Music,Contemporary,True
28948675487,Fischer-Dieskau Lieder A-Z: Schumann (Complete Lieder Recordings on DG & Decca),85,61.34166667,0.7216666667058824,2.191247216478709,0.0782757402004853,Song,Romantic,False
28948591701,Arvo Pärt: Tractus,84,33.87777778,0.4033068783333333,1.2209712854244013,0.044004388053782,Choral Music,Contemporary,False
